  	190254041	190254041	13.877051	13.877051
\x0A\x09	17763287	208017328	1.295647	15.172698
IN	16042374	224059702	1.170124	16.342822
\x09\x09	14054440	238114142	1.025125	17.367947
DE	13766823	251880965	1.004146	18.372093
E 	12060336	263941301	0.879676	19.251769
00	11626968	275568269	0.848066	20.099835
RE	11055926	286624195	0.806415	20.906250
ST	9662574	296286769	0.704784	21.611034
NE	9517310	305804079	0.694189	22.305223
_C	9378688	315182767	0.684078	22.989301
;\x0A	9107598	324290365	0.664304	23.653605
T 	9068023	333358388	0.661418	24.315023
_S	8844903	342203291	0.645144	24.960166
, 	8823623	351026914	0.643591	25.603758
ER	8165347	359192261	0.595577	26.199335
 0	7931895	367124156	0.578549	26.777884
0X	7889671	375013827	0.575469	27.353353
FI	7537122	382550949	0.549755	27.903108
AT	7350222	389901171	0.536122	28.439230
NT	7228642	397129813	0.527254	28.966484
E_	7154251	404284064	0.521828	29.488312
T_	6881708	411165772	0.501949	29.990261
EF	6779730	417945502	0.494511	30.484772
_D	6596866	424542368	0.481173	30.965945
TR	6274800	430817168	0.457681	31.423626
\x0A#	6257551	437074719	0.456423	31.880049
 *	6157748	443232467	0.449144	32.329193
TE	6139899	449372366	0.447842	32.777034
_P	6111142	455483508	0.445744	33.222778
_R	6086015	461569523	0.443911	33.666690
SE	6001154	467570677	0.437722	34.104412
MA	5984645	473555322	0.436518	34.540929
ON	5940797	479496119	0.433319	34.974248
EN	5884713	485380832	0.429229	35.403477
_M	5778994	491159826	0.421517	35.824994
__	5775916	496935742	0.421293	36.246287
#D	5651239	502586981	0.412199	36.658486
TA	5596023	508183004	0.408172	37.066658
= 	5580128	513763132	0.407012	37.473670
IF	5462765	519225897	0.398452	37.872122
CO	5287052	524512949	0.385635	38.257757
ET	5274432	529787381	0.384715	38.642472
AS	5149804	534937185	0.375625	39.018097
CT	5119107	540056292	0.373386	39.391482
 =	4811813	544868105	0.350972	39.742454
C_	4733069	549601174	0.345228	40.087682
ES	4463616	554064790	0.325574	40.413256
OR	4454783	558519573	0.324930	40.738186
R_	4437422	562956995	0.323664	41.061850
_I	4434714	567391709	0.323466	41.385316
\x0A\x0A	4425872	571817581	0.322821	41.708138
,\x0A	4339168	576156749	0.316497	42.024635
 S	4288011	580444760	0.312766	42.337400
->	4287437	584732197	0.312724	42.650124
LE	4175330	588907527	0.304547	42.954671
S_	4137579	593045106	0.301793	43.256464
EV	4097868	597142974	0.298897	43.555361
AN	4051752	601194726	0.295533	43.850894
_E	4025681	605220407	0.293632	44.144526
 I	4013407	609233814	0.292736	44.437262
TI	4007910	613241724	0.292335	44.729597
);	3924124	617165848	0.286224	45.015821
D_	3847887	621013735	0.280663	45.296485
 T	3828172	624841907	0.279225	45.575710
L_	3808650	628650557	0.277801	45.853511
_A	3806356	632456913	0.277634	46.131145
0_	3752064	636208977	0.273674	46.404819
AL	3751846	639960823	0.273658	46.678477
G_	3713674	643674497	0.270874	46.949351
 C	3634573	647309070	0.265104	47.214456
X0	3589407	650898477	0.261810	47.476265
_T	3573705	654472182	0.260665	47.736930
P_	3504537	657976719	0.255619	47.992549
AR	3436263	661412982	0.250640	48.243189
IO	3360805	664773787	0.245136	48.488325
IT	3350417	668124204	0.244378	48.732703
S 	3274691	671398895	0.238855	48.971557
ED	3267498	674666393	0.238330	49.209887
* 	3222650	677889043	0.235059	49.444946
 D	3199089	681088132	0.233340	49.678286
RI	3189772	684277904	0.232661	49.910947
RA	3185930	687463834	0.232380	50.143327
M_	3161694	690625528	0.230613	50.373940
IC	3123379	693748907	0.227818	50.601758
ID	3108311	696857218	0.226719	50.828477
D 	3099620	699956838	0.226085	51.054562
