  	190254170	190254170	13.876566	13.876566
\x0A\x09	17764377	208018547	1.295680	15.172247
\x09\x09	14055250	222073797	1.025148	16.197394
in	12735777	234809574	0.928909	17.126304
e 	11766807	246576381	0.858235	17.984539
00	11626987	258203368	0.848037	18.832576
de	11127720	269331088	0.811622	19.644199
;\x0A	9108112	278439200	0.664318	20.308517
, 	8823991	287263191	0.643595	20.952112
 0	7931977	295195168	0.578535	21.530647
ne	7899162	303094330	0.576141	22.106788
0x	7876427	310970757	0.574483	22.681271
re	7852667	318823424	0.572750	23.254021
st	7129434	325952858	0.519999	23.774020
t 	7035285	332988143	0.513133	24.287153
_C	7025918	340014061	0.512449	24.799602
fi	6850834	346864895	0.499679	25.299281
ef	6380199	353245094	0.465353	25.764634
_S	6325118	359570212	0.461335	26.225969
\x0A#	6257600	365827812	0.456411	26.682379
 *	6158134	371985946	0.449156	27.131535
__	5775876	377761822	0.421275	27.552810
#d	5651092	383412914	0.412174	27.964984
= 	5580363	388993277	0.407015	28.371999
er	4988886	393982163	0.363874	28.735873
at	4924742	398906905	0.359196	29.095069
 =	4812028	403718933	0.350975	29.446044
E_	4586226	408305159	0.334506	29.780549
_M	4547856	412853015	0.331707	30.112256
tr	4490008	417343023	0.327488	30.439744
_D	4455816	421798839	0.324994	30.764738
\x0A\x0A	4426074	426224913	0.322825	31.087562
,\x0A	4339268	430564181	0.316493	31.404055
nt	4337989	434902170	0.316400	31.720455
_R	4305117	439207287	0.314002	32.034457
->	4287670	443494957	0.312730	32.347187
et	4212374	447707331	0.307238	32.654425
_P	4120110	451827441	0.300508	32.954934
te	4107805	455935246	0.299611	33.254544
T_	4074256	460009502	0.297164	33.551708
);	3924399	463933901	0.286234	33.837942
ct	3811657	467745558	0.278011	34.115953
0_	3752082	471497640	0.273666	34.389619
ta	3666125	475163765	0.267396	34.657015
MA	3631483	478795248	0.264869	34.921884
se	3567562	482362810	0.260207	35.182091
on	3562287	485925097	0.259822	35.441914
x0	3552147	489477244	0.259083	35.700997
en	3528790	493006034	0.257379	35.958376
 i	3303172	496309206	0.240923	36.199300
C_	3297388	499606594	0.240502	36.439801
* 	3222863	502829457	0.235066	36.674867
 t	3210123	506039580	0.234137	36.909004
 s	3198997	509238577	0.233325	37.142329
AS	3172994	512411571	0.231429	37.373758
ER	3140543	515552114	0.229062	37.602819
IN	3128175	518680289	0.228160	37.830979
es	3098662	521778951	0.226007	38.056986
s 	3060128	524839079	0.223197	38.280183
G_	3039151	527878230	0.221667	38.501849
IF	3022781	530901011	0.220473	38.722322
ti	3019638	533920649	0.220243	38.942565
RE	2989612	536910261	0.218053	39.160618
or	2983922	539894183	0.217638	39.378257
R_	2972857	542867040	0.216831	39.595088
le	2966832	545833872	0.216392	39.811480
_E	2935427	548769299	0.214101	40.025581
d 	2923106	551692405	0.213203	40.238783
NT	2887709	554580114	0.210621	40.449404
\x0A 	2849751	557429865	0.207852	40.657256
ev	2838847	560268712	0.207057	40.864313
ru	2828163	563096875	0.206278	41.070591
L_	2825194	565922069	0.206061	41.276652
t_	2807598	568729667	0.204778	41.481430
co	2763121	571492788	0.201534	41.682964
S_	2743175	574235963	0.200079	41.883043
n 	2684988	576920951	0.195835	42.078878
_A	2656947	579577898	0.193790	42.272667
 (	2649349	582227247	0.193236	42.465903
uc	2601321	584828568	0.189733	42.655635
1_	2597161	587425729	0.189429	42.845065
_I	2574132	589999861	0.187749	43.032814
e_	2568308	592568169	0.187325	43.220139
_s	2520114	595088283	0.183810	43.403948
 c	2487374	597575657	0.181422	43.585370
DE	2470746	600046403	0.180209	43.765578
ST	2455521	602501924	0.179098	43.944677
AT	2412874	604914798	0.175988	44.120665
th	2396617	607311415	0.174802	44.295467
f 	2391764	609703179	0.174448	44.469915
if	2386465	612089644	0.174062	44.643976
2_	2382571	614472215	0.173778	44.817754
P_	2370625	616842840	0.172906	44.990660
D_	2367442	619210282	0.172674	45.163334
ed	2366415	621576697	0.172599	45.335933
ON	2355069	623931766	0.171772	45.507705
it	2354281	626286047	0.171714	45.679419
_c	2352966	628639013	0.171618	45.851037
ri	2338779	630977792	0.170584	46.021621
SE	2334613	633312405	0.170280	46.191901
al	2334445	635646850	0.170267	46.362168
EN	2295235	637942085	0.167408	46.529575
ic	2278066	640220151	0.166155	46.695731
)\x0A	2275715	642495866	0.165984	46.861715
r 	2271236	644767102	0.165657	47.027372
he	2249286	647016388	0.164056	47.191428
ar	2243069	649259457	0.163603	47.355031
 r	2228158	651487615	0.162515	47.517546
X_	2223942	653711557	0.162208	47.679753
ma	2217777	655929334	0.161758	47.841511
 a	2207802	658137136	0.161030	48.002542
CO	2206688	660343824	0.160949	48.163491
N_	2157872	662501696	0.157389	48.320880
SK	2143305	664645001	0.156326	48.477206
_d	2141179	666786180	0.156171	48.633377
{\x0A	2134923	668921103	0.155715	48.789092
an	2131838	671052941	0.155490	48.944582
SH	2105246	673158187	0.153550	49.098132
HI	2089195	675247382	0.152380	49.250512
\x09 	2082493	677329875	0.151891	49.402402
_L	2057470	679387345	0.150066	49.552468
T 	2033191	681420536	0.148295	49.700763
\x09i	2019822	683440358	0.147320	49.848083
TE	2002418	685442776	0.146050	49.994133
_p	1991210	687433986	0.145233	50.139366
lo	1979625	689413611	0.144388	50.283754
is	1970631	691384242	0.143732	50.427486
to	1966937	693351179	0.143462	50.570948
as	1961564	695312743	0.143071	50.714019
M_	1960483	697273226	0.142992	50.857010
_T	1953001	699226227	0.142446	50.999456
nd	1931307	701157534	0.140864	51.140320
io	1925559	703083093	0.140444	51.280764
FT	1903524	704986617	0.138837	51.419602
ur	1899013	706885630	0.138508	51.558110
TA	1897132	708782762	0.138371	51.696481
AN	1896231	710678993	0.138305	51.834787
 "	1882299	712561292	0.137289	51.972076
si	1881301	714442593	0.137216	52.109292
id	1880387	716322980	0.137150	52.246442
ad	1871495	718194475	0.136501	52.382943
PC	1867210	720061685	0.136189	52.519132
_i	1860767	721922452	0.135719	52.654851
ch	1803799	723726251	0.131564	52.786414
) 	1803734	725529985	0.131559	52.917973
ns	1789839	727319824	0.130545	53.048519
_r	1781033	729100857	0.129903	53.178422
li	1776790	730877647	0.129594	53.308016
tu	1755403	732633050	0.128034	53.436049
_B	1755182	734388232	0.128018	53.564067
me	1747708	736135940	0.127473	53.691540
un	1745271	737881211	0.127295	53.818834
TR	1742064	739623275	0.127061	53.945895
K 	1726976	741350251	0.125960	54.071856
/*	1706768	743057019	0.124487	54.196342
*/	1706649	744763668	0.124478	54.320820
FF	1698029	746461697	0.123849	54.444669
/\x0A	1693796	748155493	0.123540	54.568210
\x09r	1693633	749849126	0.123528	54.691738
 d	1676492	751525618	0.122278	54.814016
A_	1668495	753194113	0.121695	54.935711
 m	1667661	754861774	0.121634	55.057346
_O	1662881	756524655	0.121286	55.178631
ce	1657365	758182020	0.120883	55.299514
ro	1635714	759817734	0.119304	55.418818
DI	1629273	761447007	0.118834	55.537653
ea	1627368	763074375	0.118695	55.656348
_t	1620821	764695196	0.118218	55.774566
oc	1616213	766311409	0.117882	55.892448
RA	1613014	767924423	0.117648	56.010096
NE	1601526	769525949	0.116810	56.126906
 f	1591171	771117120	0.116055	56.242962
L\x0A	1573264	772690384	0.114749	56.357711
 p	1569962	774260346	0.114508	56.472219
F_	1568953	775829299	0.114435	56.586654
