   	182997426
000	7583019
\x0A\x09\x09	7389628
 0X	6446234
INE	6176891
DEF	6147089
FIN	5868225
NE 	5842864
EFI	5812814
#DE	5650716
\x0A#D	5634158
\x09\x09\x09	5470534
;\x0A\x09	5435821
 = 	4410229
);\x0A	3857531
  0	3816728
,\x0A\x09	3524546
0X0	3496048
DEV	3266575
STA	3105889
STR	3032746
_MA	2989197
_RE	2738987
INT	2656710
TRU	2593309
TAT	2528366
UCT	2475747
\x0A\x0A\x09	2472026
;\x0A\x0A	2468108
MAS	2464803
CT 	2460271
RUC	2453786
ASK	2443233
CON	2357949
_DE	2298133
X00	2215785
_CO	2155020
_IN	2109770
REG	2094431
_SH	2031465
{\x0A\x09	2022265
, 0	1994332
__S	1964655
RET	1940110
_ST	1930141
 * 	1891198
SHI	1843266
HIF	1835564
IFT	1834076
 RE	1822491
TER	1818393
SK 	1798182
 TH	1790769
\x0A *	1787273
 IN	1738444
FT 	1734810
ION	1728771
IF 	1726023
ATE	1700575
T  	1698729
ENT	1689891
*/\x0A	1684511
 */	1644810
RES	1634511
DAT	1541081
THE	1527982
K  	1506962
F (	1501236
ERR	1493659
ER_	1488617
\x09RE	1484313
\x09IF	1442094
SET	1437089
ATI	1434973
\x0A\x09I	1434725
_EN	1419451
ODE	1415891
NT 	1405591
TUR	1403854
 {\x0A	1368863
ING	1362500
\x09\x09 	1361008
LOC	1332959
ATA	1307962
ED 	1307209
ET_	1292833
/* 	1292649
_DI	1290749
E D	1283398
ETU	1281407
_SE	1264514
FFF	1248650
URN	1238517
TIO	1235208
***	1217766
 CO	1212536
HE 	1202549
ASE	1200989
REA	1176544
BLE	1171731
L\x0A#	1170287
\x0A\x09S	1147552
LAN	1129073
NTE	1113555
RN 	1102357
 ST	1100238
\x09  	1090495
OCK	1090401
NTR	1062427
}\x0A\x0A	1061016
ABL	1051164
\x0A  	1048815
0\x0A#	1048296
0, 	1046666
VAL	1035426
0X1	1030914
ADD	1026679
_RA	1018763
)\x0A\x09	1014850
PER	1010196
ONT	1010172
LIN	1006227
ANE	1004464
CNT	992315
TE_	991564
_CR	989682
TIC	984634
IG_	981039
FOR	980819
IZE	978814
ST_	967215
\x0AST	965836
/\x0A\x09	944014
CFG	942740
_CN	942568
---	940613
\x09\x09R	937892
ORT	935709
\x09ST	932300
SIZ	929052
ER 	928617
ICE	924324
CLK	923021
IC 	913252
0L\x0A	912738
E M	911307
PHY	909103
TO 	901965
RAM	900139
(ST	899132
\x09/*	888760
BIF	880933
TL_	879283
DDR	878039
DIG	872266
_AD	867424
_ID	866419
POR	860866
ATU	860243
END	857687
LE_	853737
E C	853405
 BI	852845
_PR	846468
NT_	834433
OUT	829373
IF_	827488
S_C	827021
_PA	825196
ON_	823304
RX_	821482
E B	817036
PCI	815951
IN_	814550
\x0A\x09R	813412
OR 	808899
AND	808729
) {	808706
NTL	804332
SE 	803711
_CF	803644
EAD	803197
VER	802333
_CL	792598
 TO	790881
_DA	790000
MOD	789855
_RX	787672
TUS	774048
_CT	767204
\x09}\x0A	762573
ST 	758976
_CA	755408
\x09 *	753609
ED_	749708
_BA	749369
T_C	749177
E R	744574
ALL	742321
 DE	741056
EVI	739592
ONS	736884
_PC	736076
CHA	735899
L__	735182
OUN	732910
;\x0A}	731437
BAS	726032
VIC	723561
IST	722818
ECT	722120
\x0A\x09}	721593
ID 	716854
COM	716000
T S	715585
E S	714730
FG_	712698
AME	710906
\x0A{\x0A	709681
00L	709449
\x0A}\x0A	708056
SER	707000
\x0A\x0AS	706417
)\x0A{	704868
SYS	702666
G_D	699781
_LA	699215
REQ	698726
PRI	697592
PAR	691923
NG 	691868
CE_	691112
SE_	691077
TRO	689607
= 0	688067
TX_	686292
_LO	684435
EST	682419
E_C	679814
\x0A\x09 	675538
ESE	673641
HAN	673218
T_S	673148
DE 	672222
PRO	670787
IO_	670729
PCS	669910
F_C	669235
ET 	665650
PIN	664262
UNT	662432
BUF	658149
NUM	658027
HY_	653984
\x090X	653894
\x09\x09I	650293
UT_	649607
ROL	648855
